time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_radius
4,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
7,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
10,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
13,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
17,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
20,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
24,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
27,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
30,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
33,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
36,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
40,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
43,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
46,1,8880417663832111,1,9735603528760812,set_fix,185.0,95.0,13
4,1,8880417663832111,3,5710168162834601,unknown,35.0,149.0,10
7,1,8880417663832111,3,5710168162834601,unknown,35.0,153.0,10
10,1,8880417663832111,3,5710168162834601,unknown,35.0,154.0,10
27,1,8880417663832111,3,5710168162834601,moving,35.0,164.0,10
26,2,6294534372708562,3,5710168162834601,unknown,34.0,168.0,10
33,1,8880417663832111,3,5710168162834601,fix,35.0,163.0,10
40,1,8880417663832111,3,5710168162834601,fix,37.0,162.0,10
43,2,6294534372708562,3,5710168162834601,fix,38.0,166.0,10
48,2,6294534372708562,3,5710168162834601,fix,37.0,165.0,10
4,0,1985438976160487,0,961142147553055,unknown,40.0,29.0,7
7,0,1985438976160487,0,961142147553055,unknown,43.0,33.0,7
7,2,6294534372708562,0,961142147553055,unknown,43.0,35.0,7
13,0,1985438976160487,0,961142147553055,unknown,46.0,39.0,7
16,0,1985438976160487,0,961142147553055,unknown,51.0,41.0,7
13,2,6294534372708562,0,961142147553055,unknown,49.0,40.0,7
19,0,1985438976160487,0,961142147553055,unknown,55.0,44.0,7
23,0,1985438976160487,0,961142147553055,unknown,58.0,45.0,7
26,2,6294534372708562,0,961142147553055,moving,64.0,56.0,7
33,0,1985438976160487,0,961142147553055,moving,69.0,59.0,7
39,0,1985438976160487,0,961142147553055,moving,75.0,65.0,7
39,2,6294534372708562,0,961142147553055,moving,77.0,64.0,7
43,0,1985438976160487,0,961142147553055,moving,81.0,67.0,7
46,0,1985438976160487,0,961142147553055,moving,80.0,72.0,7
48,0,1985438976160487,0,961142147553055,moving,82.0,74.0,7
7,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
4,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
10,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
13,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
16,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
19,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
23,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
27,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
30,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
33,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
36,0,1985438976160487,2,3545160253117973,set_fix,105.0,225.0,17
39,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
43,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
46,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
48,2,6294534372708562,2,3545160253117973,set_fix,105.0,225.0,17
7,2,6294534372708562,4,5102014569737190,unknown,245.0,263.0,8
13,0,1985438976160487,4,5102014569737190,unknown,241.0,269.0,8
13,1,8880417663832111,4,5102014569737190,unknown,243.0,268.0,8
13,2,6294534372708562,4,5102014569737190,unknown,247.0,269.0,8
16,0,1985438976160487,4,5102014569737190,unknown,238.0,273.0,8
20,2,6294534372708562,4,5102014569737190,unknown,237.0,275.0,8
29,2,6294534372708562,4,5102014569737190,moving,228.0,278.0,8
33,2,6294534372708562,4,5102014569737190,moving,224.0,275.0,8
36,2,6294534372708562,4,5102014569737190,moving,217.0,279.0,8
33,1,8880417663832111,4,5102014569737190,moving,223.0,273.0,8
39,2,6294534372708562,4,5102014569737190,moving,218.0,277.0,8
43,2,6294534372708562,4,5102014569737190,moving,216.0,276.0,8
48,2,6294534372708562,4,5102014569737190,moving,208.0,275.0,8
