2020-06-10 22:14:59,064 - Controller1 - INFO - time:4.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.40,beta_target:1.15,x_command:0.00,y_command:0.00,alpha_command:0.16,beta_command:0.21
2020-06-10 22:14:59,444 - Controller1 - INFO - time:4.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.17,beta_command:-1.00
2020-06-10 22:14:59,444 - Controller1 - INFO - time:4.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.17,beta_command:-1.00
2020-06-10 22:14:59,786 - Controller1 - INFO - time:4.95,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.17,beta_command:-1.00
2020-06-10 22:14:59,787 - Controller1 - INFO - time:4.95,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.17,beta_command:-1.00
2020-06-10 22:15:00,139 - Controller1 - INFO - time:5.30,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.17,beta_command:-1.00
2020-06-10 22:15:00,139 - Controller1 - INFO - time:5.30,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.17,beta_command:-1.00
2020-06-10 22:15:00,488 - Controller1 - INFO - time:5.65,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.52,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.67,beta_command:-1.00
2020-06-10 22:15:00,488 - Controller1 - INFO - time:5.65,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.52,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.67,beta_command:-1.00
2020-06-10 22:15:00,809 - Controller1 - INFO - time:5.97,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.49,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.55,beta_command:-1.00
2020-06-10 22:15:00,809 - Controller1 - INFO - time:5.97,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.49,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.55,beta_command:-1.00
2020-06-10 22:15:01,158 - Controller1 - INFO - time:6.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.47,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.45,beta_command:-1.00
2020-06-10 22:15:01,158 - Controller1 - INFO - time:6.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.47,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.45,beta_command:-1.00
2020-06-10 22:15:01,445 - Controller1 - INFO - time:6.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.44,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.32,beta_command:-1.00
2020-06-10 22:15:01,446 - Controller1 - INFO - time:6.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.44,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.32,beta_command:-1.00
2020-06-10 22:15:01,814 - Controller1 - INFO - time:6.98,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.41,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.23,beta_command:-1.00
2020-06-10 22:15:01,815 - Controller1 - INFO - time:6.98,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.41,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.23,beta_command:-1.00
2020-06-10 22:15:02,184 - Controller1 - INFO - time:7.35,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.10,beta_command:-1.00
2020-06-10 22:15:02,184 - Controller1 - INFO - time:7.35,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.10,beta_command:-1.00
