time_to_compare,time_stamp,agent_id,agent_signature,camera_id,camera_signature,camera_type,camera_x,camera_y,camera_vx,camera_vy,camera_ax,camera_ay,alpha,beta,field_depth,is_agent_active,is_camera_active
0,0.030916213989257812,1,746357629262620,1,746357629262620,0,15.1,-0.1,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
0.3441145420074463,0.36003732681274414,1,746357629262620,1,746357629262620,0,15.1,-0.1,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
0.6521997451782227,0.7321934700012207,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
0.9675230979919434,1.0387651920318604,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
1.4854600429534912,1.4894132614135742,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
1.7956955432891846,1.8834726810455322,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
2.103640556335449,2.1693084239959717,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
2.4121742248535156,2.50301456451416,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
2.7212321758270264,2.806053876876831,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
3.0283892154693604,3.1029207706451416,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
3.3402559757232666,3.4052200317382812,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
3.648503065109253,3.7096078395843506,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
3.956902027130127,4.0199010372161865,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
4.271830081939697,4.320971488952637,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
4.5803444385528564,4.622932434082031,1,746357629262620,1,746357629262620,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
