time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_radius
10,1,5578233463413422,1,573776881175731,set_fix,185,95,13
16,1,5578233463413422,1,573776881175731,set_fix,185,95,13
22,1,5578233463413422,1,573776881175731,unknown,185,95,13
27,1,5578233463413422,1,573776881175731,unknown,185,95,13
34,1,5578233463413422,1,573776881175731,unknown,185,95,13
39,1,5578233463413422,1,573776881175731,unknown,185,95,13
46,1,5578233463413422,1,573776881175731,unknown,185,95,13
51,1,5578233463413422,1,573776881175731,fix,185,95,13
57,1,5578233463413422,1,573776881175731,fix,185,95,13
63,1,5578233463413422,1,573776881175731,fix,185,95,13
69,1,5578233463413422,1,573776881175731,fix,185,95,13
75,1,5578233463413422,1,573776881175731,fix,185,95,13
81,1,5578233463413422,1,573776881175731,fix,185,95,13
87,1,5578233463413422,1,573776881175731,fix,185,95,13
93,1,5578233463413422,1,573776881175731,fix,185,95,13
99,1,5578233463413422,1,573776881175731,fix,185,95,13
105,1,5578233463413422,1,573776881175731,fix,185,95,13
111,1,5578233463413422,1,573776881175731,fix,185,95,13
117,1,5578233463413422,1,573776881175731,fix,185,95,13
122,1,5578233463413422,1,573776881175731,fix,185,95,13
129,1,5578233463413422,1,573776881175731,fix,185,95,13
134,1,5578233463413422,1,573776881175731,fix,185,95,13
140,1,5578233463413422,1,573776881175731,fix,185,95,13
146,1,5578233463413422,1,573776881175731,fix,185,95,13
152,1,5578233463413422,1,573776881175731,fix,185,95,13
158,1,5578233463413422,1,573776881175731,fix,185,95,13
164,1,5578233463413422,1,573776881175731,fix,185,95,13
170,1,5578233463413422,1,573776881175731,fix,185,95,13
176,1,5578233463413422,1,573776881175731,fix,185,95,13
182,1,5578233463413422,1,573776881175731,fix,185,95,13
188,1,5578233463413422,1,573776881175731,fix,185,95,13
194,1,5578233463413422,1,573776881175731,fix,185,95,13
200,1,5578233463413422,1,573776881175731,fix,185,95,13
204,1,5578233463413422,1,573776881175731,fix,185,95,13
10,1,5578233463413422,4,9926848519068078,unknown,249,267,8
16,1,5578233463413422,4,9926848519068078,unknown,241,272,8
22,1,5578233463413422,4,9926848519068078,unknown,235,275,8
27,1,5578233463413422,4,9926848519068078,unknown,229,275,8
34,1,5578233463413422,4,9926848519068078,unknown,222,277,8
39,1,5578233463413422,4,9926848519068078,unknown,216,275,8
46,1,5578233463413422,4,9926848519068078,unknown,209,276,8
51,1,5578233463413422,4,9926848519068078,moving,205,272,8
57,1,5578233463413422,4,9926848519068078,moving,200,275,8
63,1,5578233463413422,4,9926848519068078,moving,190,276,8
69,1,5578233463413422,4,9926848519068078,moving,188,275,8
75,1,5578233463413422,4,9926848519068078,moving,180,271,8
81,1,5578233463413422,4,9926848519068078,moving,175,278,8
87,1,5578233463413422,4,9926848519068078,moving,168,277,8
93,1,5578233463413422,4,9926848519068078,moving,164,275,8
99,1,5578233463413422,4,9926848519068078,moving,157,275,8
105,1,5578233463413422,4,9926848519068078,moving,150,275,8
111,1,5578233463413422,4,9926848519068078,moving,146,275,8
117,1,5578233463413422,4,9926848519068078,moving,139,275,8
123,1,5578233463413422,4,9926848519068078,moving,132,275,8
129,1,5578233463413422,4,9926848519068078,moving,127,273,8
134,1,5578233463413422,4,9926848519068078,moving,120,275,8
140,1,5578233463413422,4,9926848519068078,moving,116,275,8
147,1,5578233463413422,4,9926848519068078,moving,109,277,8
