time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_radius
4,0,6399426427924154,0,8020496568016839,unknown,39,33,7
7,0,6399426427924154,0,8020496568016839,unknown,44,32,7
9,0,6399426427924154,0,8020496568016839,unknown,44,34,7
13,0,6399426427924154,0,8020496568016839,unknown,47,38,7
16,0,6399426427924154,0,8020496568016839,unknown,50,39,7
19,0,6399426427924154,0,8020496568016839,unknown,52,45,7
23,0,6399426427924154,0,8020496568016839,unknown,61,49,7
26,0,6399426427924154,0,8020496568016839,moving,65,52,7
29,0,6399426427924154,0,8020496568016839,moving,68,57,7
32,0,6399426427924154,0,8020496568016839,moving,67,59,7
35,0,6399426427924154,0,8020496568016839,moving,69,62,7
39,0,6399426427924154,0,8020496568016839,moving,75,65,7
42,0,6399426427924154,0,8020496568016839,moving,78,68,7
45,0,6399426427924154,0,8020496568016839,moving,83,70,7
49,0,6399426427924154,0,8020496568016839,moving,84,75,7
52,0,6399426427924154,0,8020496568016839,moving,88,77,7
55,0,6399426427924154,0,8020496568016839,moving,93,80,7
58,0,6399426427924154,0,8020496568016839,moving,93,83,7
61,0,6399426427924154,0,8020496568016839,moving,95,91,7
64,0,6399426427924154,0,8020496568016839,moving,89,91,7
67,0,6399426427924154,0,8020496568016839,moving,88,93,7
70,0,6399426427924154,0,8020496568016839,moving,86,97,7
73,0,6399426427924154,0,8020496568016839,moving,82,99,7
77,0,6399426427924154,0,8020496568016839,moving,78,103,7
80,0,6399426427924154,0,8020496568016839,moving,73,106,7
83,0,6399426427924154,0,8020496568016839,moving,71,107,7
87,0,6399426427924154,0,8020496568016839,moving,64,113,7
90,0,6399426427924154,0,8020496568016839,moving,65,116,7
93,0,6399426427924154,0,8020496568016839,moving,63,118,7
96,0,6399426427924154,0,8020496568016839,moving,60,120,7
99,0,6399426427924154,0,8020496568016839,moving,50,124,7
102,0,6399426427924154,0,8020496568016839,moving,51,125,7
105,0,6399426427924154,0,8020496568016839,moving,56,131,7
