2020-06-10 22:24:46,071 - Controller1 - INFO - time:4.26,x_mes:15.00,y_mes:0.00,alpha_mes:2.35,beta_mes:0.68,x_target:15.00,y_target:0.00,alpha_target:2.40,beta_target:0.80,x_command:0.00,y_command:0.00,alpha_command:0.22,beta_command:0.23
2020-06-10 22:24:46,072 - Controller1 - INFO - time:4.26,x_mes:15.00,y_mes:0.00,alpha_mes:2.38,beta_mes:0.69,x_target:15.00,y_target:0.00,alpha_target:2.40,beta_target:0.80,x_command:0.00,y_command:0.00,alpha_command:0.08,beta_command:0.22
2020-06-10 22:24:46,453 - Controller1 - INFO - time:4.64,x_mes:15.00,y_mes:0.00,alpha_mes:2.39,beta_mes:0.69,x_target:15.00,y_target:0.00,alpha_target:2.42,beta_target:0.96,x_command:0.00,y_command:0.00,alpha_command:0.10,beta_command:0.53
2020-06-10 22:24:46,453 - Controller1 - INFO - time:4.64,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.71,x_target:15.00,y_target:0.00,alpha_target:2.42,beta_target:0.96,x_command:0.00,y_command:0.00,alpha_command:0.04,beta_command:0.49
2020-06-10 22:24:46,766 - Controller1 - INFO - time:4.95,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.73,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.26,beta_command:-0.58
2020-06-10 22:24:46,766 - Controller1 - INFO - time:4.95,x_mes:15.00,y_mes:0.00,alpha_mes:2.37,beta_mes:0.71,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.10,beta_command:-0.54
2020-06-10 22:24:47,185 - Controller1 - INFO - time:5.37,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:0.69,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.06,beta_command:-0.52
2020-06-10 22:24:47,186 - Controller1 - INFO - time:5.37,x_mes:15.00,y_mes:0.00,alpha_mes:2.35,beta_mes:0.68,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.02,beta_command:-0.48
2020-06-10 22:24:47,186 - Controller1 - INFO - time:5.37,x_mes:15.00,y_mes:0.00,alpha_mes:2.35,beta_mes:0.66,x_target:15.00,y_target:0.00,alpha_target:2.35,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.01,beta_command:-0.45
2020-06-10 22:24:47,568 - Controller1 - INFO - time:5.76,x_mes:15.00,y_mes:0.00,alpha_mes:2.35,beta_mes:0.66,x_target:14.75,y_target:0.25,alpha_target:2.42,beta_target:1.27,x_command:-0.10,y_command:0.10,alpha_command:0.30,beta_command:1.00
2020-06-10 22:24:47,568 - Controller1 - INFO - time:5.76,x_mes:15.00,y_mes:0.00,alpha_mes:2.40,beta_mes:0.69,x_target:14.75,y_target:0.25,alpha_target:2.42,beta_target:1.27,x_command:-0.10,y_command:0.10,alpha_command:0.11,beta_command:1.00
2020-06-10 22:24:47,982 - Controller1 - INFO - time:6.17,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.73,x_target:14.75,y_target:0.25,alpha_target:2.41,beta_target:1.25,x_command:-0.10,y_command:0.10,alpha_command:-0.01,beta_command:1.00
2020-06-10 22:24:47,982 - Controller1 - INFO - time:6.17,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.76,x_target:14.75,y_target:0.25,alpha_target:2.41,beta_target:1.25,x_command:-0.10,y_command:0.10,alpha_command:0.00,beta_command:0.98
2020-06-10 22:24:47,982 - Controller1 - INFO - time:6.17,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.79,x_target:14.75,y_target:0.25,alpha_target:2.41,beta_target:1.25,x_command:-0.10,y_command:0.10,alpha_command:0.00,beta_command:0.91
2020-06-10 22:24:48,324 - Controller1 - INFO - time:6.51,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.80,x_target:15.00,y_target:0.00,alpha_target:2.43,beta_target:1.02,x_command:0.00,y_command:0.00,alpha_command:0.10,beta_command:0.44
2020-06-10 22:24:48,324 - Controller1 - INFO - time:6.51,x_mes:15.00,y_mes:0.00,alpha_mes:2.43,beta_mes:0.81,x_target:15.00,y_target:0.00,alpha_target:2.43,beta_target:1.02,x_command:0.00,y_command:0.00,alpha_command:0.04,beta_command:0.41
2020-06-10 22:24:48,655 - Controller1 - INFO - time:6.84,x_mes:15.00,y_mes:0.00,alpha_mes:2.43,beta_mes:0.82,x_target:15.00,y_target:0.00,alpha_target:2.42,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.03,beta_command:-0.77
2020-06-10 22:24:48,655 - Controller1 - INFO - time:6.84,x_mes:15.00,y_mes:0.00,alpha_mes:2.43,beta_mes:0.80,x_target:15.00,y_target:0.00,alpha_target:2.42,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.01,beta_command:-0.72
2020-06-10 22:24:49,017 - Controller1 - INFO - time:7.20,x_mes:15.00,y_mes:0.00,alpha_mes:2.42,beta_mes:0.78,x_target:15.00,y_target:0.00,alpha_target:2.40,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.11,beta_command:-0.68
2020-06-10 22:24:49,018 - Controller1 - INFO - time:7.21,x_mes:15.00,y_mes:0.00,alpha_mes:2.41,beta_mes:0.75,x_target:15.00,y_target:0.00,alpha_target:2.40,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.04,beta_command:-0.64
2020-06-10 22:24:49,417 - Controller1 - INFO - time:7.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.40,beta_mes:0.74,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.38,beta_command:-0.60
2020-06-10 22:24:49,418 - Controller1 - INFO - time:7.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.34,beta_mes:0.72,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.14,beta_command:-0.56
2020-06-10 22:24:49,418 - Controller1 - INFO - time:7.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.32,beta_mes:0.70,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.05,beta_command:-0.52
