time_to_compare,time_stamp,agent_id,agent_signature,camera_id,camera_signature,camera_type,camera_x,camera_y,camera_vx,camera_vy,camera_ax,camera_ay,alpha,beta,field_depth,is_agent_active,is_camera_active
16.865649461746216,3.206214666366577,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
4.114394903182983,4.166256904602051,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
4.66330099105835,4.706180095672607,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
5.328612804412842,5.3794403076171875,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
5.765405654907227,5.805333137512207,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
6.65351128578186,6.670454740524292,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
7.724704742431641,7.80446195602417,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
8.798173904418945,8.888933181762695,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
9.804161071777344,9.875006675720215,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
10.706729412078857,10.760592460632324,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
11.787845849990845,11.883866310119629,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
13.247179746627808,13.292432308197021,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
14.658110618591309,14.732242345809937,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
15.99248480796814,16.005399227142334,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
17.21128535270691,17.267134428024292,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
18.235734224319458,18.32120990753174,0,6288091877029549,0,6288091877029549,0,0.0,0.0,0,0,0,0,0.7853981633974483,1.0471975511965976,10.0,True,True
16.865649461746216,3.207181215286255,1,5264466312834516,1,5264466312834516,0,15.1,-0.1,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
4.223069667816162,4.248041391372681,1,5264466312834516,1,5264466312834516,0,15.1,-0.1,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
4.893715858459473,4.937658786773682,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
5.765405654907227,5.813318252563477,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
6.65351128578186,6.70839262008667,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
7.29481840133667,7.361605882644653,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
8.153936862945557,8.235720872879028,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
10.25894570350647,10.32480525970459,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
11.244823217391968,11.323105096817017,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
9.330795288085938,9.335799932479858,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
12.55884075164795,12.615726709365845,1,5264466312834516,1,5264466312834516,0,15,0,0,0,0,0,2.356194490192345,1.0471975511965976,10.0,True,True
