2020-06-11 19:20:45,083 - Controller1 - INFO - time:0.66,x_mes:15.10,y_mes:-0.10,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.13,beta_target:0.44,x_command:-0.04,y_command:0.04,alpha_command:-0.89,beta_command:-1.00
2020-06-11 19:20:45,087 - Controller1 - INFO - time:0.66,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.13,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.89,beta_command:-1.00
2020-06-11 19:20:45,430 - Controller1 - INFO - time:1.01,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.13,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.90,beta_command:-1.00
2020-06-11 19:20:45,432 - Controller1 - INFO - time:1.01,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.13,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.90,beta_command:-1.00
2020-06-11 19:20:45,872 - Controller1 - INFO - time:1.45,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.18,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.70,beta_command:1.00
2020-06-11 19:20:45,873 - Controller1 - INFO - time:1.45,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.18,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.70,beta_command:1.00
2020-06-11 19:20:45,873 - Controller1 - INFO - time:1.45,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.18,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-0.70,beta_command:1.00
2020-06-11 19:20:46,296 - Controller1 - INFO - time:1.87,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.26,beta_target:1.35,x_command:0.00,y_command:0.00,alpha_command:-0.38,beta_command:0.61
2020-06-11 19:20:46,296 - Controller1 - INFO - time:1.87,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.26,beta_target:1.35,x_command:0.00,y_command:0.00,alpha_command:-0.38,beta_command:0.61
2020-06-11 19:20:46,297 - Controller1 - INFO - time:1.87,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.26,beta_target:1.35,x_command:0.00,y_command:0.00,alpha_command:-0.38,beta_command:0.61
2020-06-11 19:20:46,619 - Controller1 - INFO - time:2.19,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.31,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.19,beta_command:-1.00
