time_to_compare,time_stamp,agent_id,agent_signature,target_id,target_signature,target_type,target_x,target_y,target_vx,target_vy,target_ax,target_ay,target_radius
1.652482509613037,1.492903470993042,1,9792629017139850,0,3010619742063273,3,2.09,0.66,0.98,0.01,0.0,-0.0,0.15
1.788503885269165,1.774552345275879,1,9792629017139850,0,3010619742063273,1,2.39,0.82,0.93,0.1,-0.0,-0.0,0.15
1.788503885269165,1.6355485916137695,0,9834441170575638,0,3010619742063273,1,2.27,0.82,0.92,-0.07,-0.0,-0.0,0.15
1.9921624660491943,1.6405079364776611,1,9792629017139850,0,3010619742063273,1,2.39,0.68,1.04,0.08,-0.0,-0.0,0.15
1.9921624660491943,1.9210562705993652,1,9792629017139850,0,3010619742063273,1,2.34,0.93,0.99,0.01,-0.0,-0.0,0.15
2.4671387672424316,2.067970037460327,1,9792629017139850,0,3010619742063273,1,2.75,0.79,1.06,-0.05,0.0,0.0,0.15
2.4671387672424316,2.2107465267181396,1,9792629017139850,0,3010619742063273,3,3.03,0.65,1.11,-0.09,-0.0,0.0,0.15
2.4671387672424316,2.375349998474121,1,9792629017139850,0,3010619742063273,3,2.79,0.81,0.93,0.02,-0.0,0.0,0.15
2.6032495498657227,2.514031171798706,1,9792629017139850,0,3010619742063273,3,3.18,1.09,0.99,0.01,-0.0,-0.0,0.15
3.4185550212860107,2.660060405731201,1,9792629017139850,0,3010619742063273,3,3.38,0.58,0.84,-0.07,0.0,0.0,0.15
3.4185550212860107,3.327772617340088,1,9792629017139850,0,3010619742063273,1,3.71,0.79,1.07,-0.04,-0.0,-0.0,0.15
3.624967575073242,3.4833626747131348,1,9792629017139850,0,3010619742063273,1,4.3,0.46,1.01,0.02,-0.0,-0.0,0.15
3.827772855758667,3.620197296142578,1,9792629017139850,0,3010619742063273,3,4.06,0.49,0.9,0.13,0.0,-0.0,0.15
3.827772855758667,3.765125274658203,1,9792629017139850,0,3010619742063273,3,4.44,0.84,1.15,1.02,0.0,0.0,0.15
4.031412601470947,3.9197072982788086,1,9792629017139850,0,3010619742063273,3,4.43,1.39,0.88,0.95,-0.0,0.0,0.15
4.167083501815796,4.195206642150879,1,9792629017139850,0,3010619742063273,3,4.62,1.15,0.96,1.14,0.0,-0.0,0.15
4.371007680892944,4.3430986404418945,1,9792629017139850,0,3010619742063273,3,4.86,1.57,0.98,0.84,0.0,0.0,0.15
4.574801206588745,4.496002435684204,1,9792629017139850,0,3010619742063273,3,5.33,1.93,1.03,1.12,0.0,-0.0,0.15
4.78092622756958,4.63161563873291,1,9792629017139850,0,3010619742063273,3,5.32,2.02,0.9,1.06,0.0,-0.0,0.15
4.985021591186523,4.910241365432739,1,9792629017139850,0,3010619742063273,3,5.52,2.13,0.89,-0.13,-0.0,-1.0,0.15
