2020-06-10 09:25:31,302 - Controller1 - INFO - time:8.23,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,391 - Controller1 - INFO - time:9.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,392 - Controller1 - INFO - time:9.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,393 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,400 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,401 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:32,402 - Controller1 - INFO - time:9.33,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,316 - Controller1 - INFO - time:10.25,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,340 - Controller1 - INFO - time:10.27,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,365 - Controller1 - INFO - time:10.30,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,378 - Controller1 - INFO - time:10.31,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:33,385 - Controller1 - INFO - time:10.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.38,beta_target:1.03,x_command:0.00,y_command:0.00,alpha_command:0.11,beta_command:-0.04
2020-06-10 09:25:34,371 - Controller1 - INFO - time:11.30,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.37,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.05,beta_command:-1.00
2020-06-10 09:25:34,372 - Controller1 - INFO - time:11.31,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.37,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.05,beta_command:-1.00
2020-06-10 09:25:34,388 - Controller1 - INFO - time:11.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.37,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.05,beta_command:-1.00
2020-06-10 09:25:34,389 - Controller1 - INFO - time:11.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.37,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.05,beta_command:-1.00
2020-06-10 09:25:34,390 - Controller1 - INFO - time:11.32,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.37,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:0.05,beta_command:-1.00
2020-06-10 09:25:35,679 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:35,680 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:35,681 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:35,681 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:35,681 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:35,682 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:35,682 - Controller1 - INFO - time:12.61,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:2.17,beta_target:0.44,x_command:0.00,y_command:0.00,alpha_command:-0.75,beta_command:-1.00
2020-06-10 09:25:36,713 - Controller1 - INFO - time:13.65,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:1.94,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:1.00
2020-06-10 09:25:36,715 - Controller1 - INFO - time:13.65,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:1.94,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:1.00
2020-06-10 09:25:36,718 - Controller1 - INFO - time:13.65,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:1.94,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:1.00
2020-06-10 09:25:36,721 - Controller1 - INFO - time:13.65,x_mes:15.00,y_mes:0.00,alpha_mes:2.36,beta_mes:1.05,x_target:15.00,y_target:0.00,alpha_target:1.94,beta_target:1.66,x_command:0.00,y_command:0.00,alpha_command:-1.00,beta_command:1.00
